title,author,genre,summary,excerpt
Visual C++6 For Dummies,['Charles Wright'],['Computers'],"Discusses how to get started with Visual C++, describes how to create useful help files, provides instructions for building, compiling, and debugging programs, and covers classes","Ok. i know its called &quot;for dummies&quot;.... and i dint really consider myself one, until i dropped $29.99, but, i looked at the first few chapters, and it look OK.... I thought id get much more &quot;Windows programming&quot; out of iti got a bit tired of :&quot;see me feel me touch me print me...&quot;&quot;smooth operator&quot;&quot;holy debugger batman, it works... etc...A bit to bubble-gummy for me AND, as was mentioned before:What About Windows ???? ... id didn't buy it Strickly for c++, it said &quot;VISUAL c++&quot;... maybe if it had been called &quot;Visual c++ console apps&quot;, (which is what it is) i would have (should have), left it on the shelf.. maybe its my fault... i guess when i think visual c++, i think sdi, and mdi classes...OH... maybe i am a dummy, after allI was NOT amused, nor very happy..."
Sisters of Cain,['Colin Dexter'],['Fiction'],"“Audacious and amusing . . . may be the best book yet in this deservedly celebrated series.”—The Wall Street Journal It was only the second time Inspector Morse had ever taken over a murder enquiry after the preliminary—invariably dramatic—discovery and sweep of the crime scene. Secretly pleased to have missed the blood and gore, Morse and the faithful Lewis go about finding the killer who stabbed Dr. Felix McClure, late of Wolsey College. In another part of Oxford, three women—a housecleaner, a schoolteacher, and a prostitute—are playing out a drama that has long been unfolding. It will take much brain work, many pints, and not a little anguish before Morse sees the startling connections between McClure's death and the daughters of Cain. . . . Praise for The Daughters of Cain “Very cleverly constructed. . . Dexter writes with an urbanity and range of reference that is all his own.”—Los Angeles Times “You don’t really know Morse until you’ve read him. . . . Viewers who have enjoyed British actor John Thaw as Morse in the PBS Mystery! anthology series should welcome the deeper character development in Dexter’s novels.”—Chicago Sun-Times “A masterful crime writer whom few others match.”—Publishers Weekly","Glynis Tryon and Seneca Falls make only a cameo appearence; most of the action is in Washington, D.C. and Richmond, Virginia and points between. The main character is Bronwen Llyr, Glynis' neice and a Union spy; and to a lesser extent, Bronwen's sister Kathryn, a nurse. There is adventure aplenty, and as usual, Monfredo brings American history alive, so you learn about it without even trying.Great fun to read, and educational too. What more can you ask?watziznaym@gmail.com"
STEPHEN HAWKING'S A BRIEF HISTORY OF TIME,['Stephen Hawking'],['Science'],"Was there a beginning of time? Could time run backwards? Is the universe infinite or does it have boundaries? These are just some of the questions considered in an internationally acclaimed masterpiece by one of the world's greatest thinkers. It begins by reviewing the great theories of the cosmos from Newton to Einstein, before delving into the secrets which still lie at the heart of space and time, from the Big Bang to black holes, via spiral galaxies and strong theory. To this day A Brief History of Time remains a staple of the scientific canon, and its succinct and clear language continues to introduce millions to the universe and its wonders.","This may be as bad as it gets. Were we not expecting a New Relativity we could understand? Yes? Were we not promised a glimpse into the future? Time travel. Easier to digest than Einstein? No? As far as I'm concerned, we got &quot;None of the above&quot;. ( This probably being the Professors' fave phrase.) When he tangented about &quot;Time Cones&quot;, and did so with meaningless graphics, I lost all faith in him as a prodigal. &quot;...for the layman...&quot;. You bet! It's not even for the scientists (exceptin' those @ MarvelComics.Com). Astro-babble to the max!"
The Tipping Point: How Little Things Can Make a Big Difference (Wheeler Compass),['Malcolm Gladwell'],['Reference'],An introduction to the Tipping Point theory explains how minor changes in ideas and products can increase their popularity and how small adjustments in an individual's immediate environment can alter group behavior.,"Good content, but could have been communicated in about half the time in half the space."
"Chronic Sorrow: A Living Loss (Series in Death, Dying, and Bereavement)",['Susan Roos'],['Psychology'],"Grief and loss are burgeoning concerns for professional disciplines such as nursing, social work, family therapy, psychology, psychiatry, law, religion and medicine. Although understanding has increased in virtually all other areas of grief and loss, chronic sorrow has received scant attention. Chronic sorrow is a natural grief reaction to losses that are not final, but continue to be present in the life of the griever. This book views chronic sorrow in a life-span perspective, and reveals the effect on the griever and the people close to them. This book fills a void in the literature; and attempts to develop a comprehensive analysis of chronic sorrow that will secure its position within the field of grief and loss.","Susan Roos hit the nail on the head in defining what it is like being the parent of a child with special needs. The book is very well written, with just enough personal experience combined with professional expertise. For professionals in the field, her writing will provide an in-depth parent perspective of the realities of everyday caregiving and advocating for your child. For parents or family members caring for children with disabilities, this book will give validation to the feelings that have likely plagued you with guilt all these years."
City of Quartz (The Haymarket Series),['Mike Davis'],['Social Science'],The hidden story of L.A. Mike davis shows us where the city's money comes form and who controls it while also exposing the brutal ongoing struggle between L.A.'s haves and have-nots.,"To call this book a Marxist rant would be an understatement. Davis spends over 400 pages verbally demolishing a great city. I've lived here my entire life and I could not imagine living anywhere else. Nothing escapes his wrath. He engages in the same tiring class warfare arguments all Marxists value; Rich against poor, black and latino against white, religion against secularization. Everyone who has a position of power in Los Angeles is raked across the coals. Never mind that he does not provide any of his own solutions for the supposed problems of our city. If you are looking for a balanced well-argued book do not look here, but if you are looking to read a leftest diatribe you'll feel perfectly at home."
The Witch of Blackbird Pond,['Elizabeth George Speare'],['Juvenile Fiction'],"In 1687 in Connecticut, Kit Tyler, feeling out of place in the Puritan household of her aunt, befriends an old woman considered a witch by the community and suddenly finds herself standing trial for witchcraft.","This book is really good. A beleivable plot, good characters, easy to follow, what more could you want? My mom wasn't sure about the book because of the title, but after listening to it she thought it was a really great book too. This book has a little bit of everything in it and is a MUST READ for any over 10."
The Lincoln Lawyer,['Michael Connelly'],['Fiction'],"This #1 bestselling legal thriller from Michael Connelly is a stunning display of novelistic mastery - as human, as gripping, and as whiplash-surprising as any novel yet from the writer Publishers Weekly has called ""today's Dostoevsky of crime literature."" Mickey Haller is a Lincoln Lawyer, a criminal defense attorney who operates out of the backseat of his Lincoln Town Car, traveling between the far-flung courthouses of Los Angeles to defend clients of every kind. Bikers, con artists, drunk drivers, drug dealers - they're all on Mickey Haller's client list. For him, the law is rarely about guilt or innocence, it's about negotiation and manipulation. Sometimes it's even about justice. A Beverly Hills playboy arrested for attacking a woman he picked up in a bar chooses Haller to defend him, and Mickey has his first high-paying client in years. It is a defense attorney's dream, what they call a franchise case. And as the evidence stacks up, Haller comes to believe this may be the easiest case of his career. Then someone close to him is murdered and Haller discovers that his search for innocence has brought him face-to-face with evil as pure as a flame. To escape without being burned, he must deploy every tactic, feint, and instinct in his arsenal - this time to save his own life.","Even if you're not interested in law, this book is a must read. It's got a great story line, it's well written and easy to breeze through. You fall in love with Haller from page 1 and are mesmerized by him until the last word. Great book."
Great Expectations,['Charles Dickens'],['Fiction'],"Penguin Classics e-books give you the best possible editions of Charles Dickens's novels, including all the original illustrations, useful and informative introductions, the definitive, accurate text as it was meant to be published, a chronology of Dickens's life and notes that fill in the background to the book. This Penguin Classics edition of Great Expectations also includes Dickens's alternative ending to the novel. A terrifying encounter with an escaped convict in a graveyard on the wild Kent marshes; a summons to meet the bitter, decaying Miss Havisham and her beautiful, cold-hearted ward Estella; the sudden generosity of a mysterious benefactor - these form a series of events that change the orphaned Pip's life forever, and he eagerly abandons his humble origins to begin a new life as a gentleman. Dickens's haunting late novel depicts Pip's education and development through adversity as he discovers thetrue nature of his 'great expectations'.","Dickens has a very vivid imagination. He express himself in a bizzare way in all of his works. In this novel, however, he out does himself. This book has a strange air about it. I was rather confused how Miss Havisham could be so confined. Why anyone would let a man upset them so much. They really aren't worth that much. The storyline was very interesting. I found the book easy to follow. Overall I would say a must read"
Path of Daggers (Wheel of Time 08),['Robert Jordan'],['Fiction'],"The Wheel of Time is now an original series on Prime Video, starring Rosamund Pike as Moiraine! Since its debut in 1990, The Wheel of Time® by Robert Jordan has captivated millions of readers around the globe with its scope, originality, and compelling characters. The Wheel of Time turns and Ages come and go, leaving memories that become legend. Legend fades to myth, and even myth is long forgotten when the Age that gave it birth returns again. In the Third Age, an Age of Prophecy, the World and Time themselves hang in the balance. What was, what will be, and what is, may yet fall under the Shadow. The Seanchan invasion force is in possession of Ebou Dar. Nynaeve, Elayne, and Aviendha head for Caemlyn and Elayne's rightful throne, but on the way they discover an enemy much worse than the Seanchan. In Illian, Rand vows to throw the Seanchan back as he did once before. But signs of madness are appearing among the Asha'man. In Ghealdan, Perrin faces the intrigues of Whitecloaks, Seanchan invaders, the scattered Shaido Aiel, and the Prophet himself. Perrin's beloved wife, Faile, may pay with her life, and Perrin himself may have to destroy his soul to save her. Meanwhile the rebel Aes Sedai under their young Amyrlin, Egwene al'Vere, face an army that intends to keep them away from the White Tower. But Egwene is determined to unseat the usurper Elaida and reunite the Aes Sedai. She does not yet understand the price that others--and she herself--will pay. The Wheel of Time® New Spring: The Novel #1 The Eye of the World #2 The Great Hunt #3 The Dragon Reborn #4 The Shadow Rising #5 The Fires of Heaven #6 Lord of Chaos #7 A Crown of Swords #8 The Path of Daggers #9 Winter's Heart #10 Crossroads of Twilight #11 Knife of Dreams By Robert Jordan and Brandon Sanderson #12 The Gathering Storm #13 Towers of Midnight #14 A Memory of Light By Robert Jordan and Teresa Patterson The World of Robert Jordan's The Wheel of Time By Robert Jordan, Harriet McDougal, Alan Romanczuk, and Maria Simons The Wheel of Time Companion By Robert Jordan and Amy Romanczuk Patterns of the Wheel: Coloring Art Based on Robert Jordan's The Wheel of Time At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.","Because he needs some discipline. Anybody that can write books like the Eye of the World and the Great Hunt (Arguably two of the greatest fantasy books ever) and then turn out some kind of pulp mash like the Path of Daggers, definitely has lost direction. When I first got interested in the series last year, I read some of the interviews posted around the web and I thought Jordan was money hungry and arrogant. Then I kept reading the books in the series and I thought I had been wrong. Then Path of Daggers came out and I knew I was right. We are being had! I can't really imagine any other explanation for this book's quality than, Jordan had a deadline, he stopped writing where he was, and said, OK the book is done. It is amazing and outrageous that in the final chapters he opens up entirely new story lines and then just leaves them dangling. It is even more amazing that Tor books lets him get away with this. Readers unite, rise up, write Tor books and tell them to bring this prodigy back in line. He can do better and he should.For those of you who say that this book is a necessary part of the series here is a test. Let's call it a random sampling, so you can try it as many times as you like. 9/10 times you will get the same results:1. Pick up the Great Hunt. 2. Open the book anywhere and read for one hour. 3. See if you can stop when the hour is up. 4. If you don't want to stop ask yourself why. 5. Try the same thing with path of daggers. 6. Do you want to keep reading for an hour? Was this book easier to put down? 7. See how far the series has degenerated."
