title,author,genre,summary,excerpt,rating,book_id,sentiment,pos_score,neg_score,neu_score,rating_bucket,gold_label
"City of Dreams (!Hero Series, Book 1)",['Better Hero Army'],['Juvenile Fiction'],"Tiffany Noboru has just awakened from her death, only to discover she has been drafted into the Gargoyle Ghost Hunter Corps. Soon she is fighting jealous rivalries within her own ranks, struggling to unravel the mystery of her recent death, and trying to avoid being killed a second time by a maniacal ghost named Bones who is seeking the destruction of the gargoyle world. In this full-length novel, appropriate for teens and young adults, a new twist on the role of gargoyles is imaginatively brought to life in spellbinding fashion. Woven into the pages are twenty original works of art by Miimork, which breathe life into this ghostly tale.","Not a bad story line, not really a bad book. But in a couple of places I found some bad editing (the word ""what"" was used where the word ""that"" should have been). I also left the book thinking that there was more time to set development than character development. I still dont know all that much about Hunter or what makes him tick (beside wanting to be promoted back to a higher rank that appears to have been stripped from him early in the book), I think I know more about the Antagonist (Simon) than I do the main character of the book. But over all, its worth the quick read.",3.0,189747,NEG,0.012456187047064304,0.654442310333252,0.3331015110015869,neutral,NEU
Techniques of the World's Great Painters (A QED book),['Waldemar Januszczak'],['Painting'],Giotto Duccio de Buoninsegna. Jan van Eyck. Piero della Francesca. Leonardo da Vinci. Hieronymous Bosch. Titian. Nicholas Hilliard; Caravaggio. El Greco. Diego Velazquez. Peter Paul Rubens. Rembrant van Rijn. Jan Vermeer. Antoine Watteau. Joshua Reynolds. Thos Gainsboroug; William Blake. John Constable. Auguste-Dominique Ingres. Eugene Delacroix. William Turner. Jean Millet. William Holman Hunt. Gustave Corbet.; Edouard Manet. Claude Monet. Pierre Auguste Renoir. Edgar Degas. Georges Seurat. Vincent van Gogh. Edward Munch. Paul Cezanne. Paul Gauguin.; Henri Matisse. Pablo Picasso. Wassily Kandinsky. Pierre Bonnard. Fernand Leger. Edward Hopper. Salvador Dali. Paul Klee. Piet Mondrian. Ernst; Jackson Pollock. Jaspar Johns. Frank Stella. Richard Hamilton. Roy Lichenstein. David Hockney._____________,I ordered what I thought were two completely different books that ended up being the same book with just a different title. It was just an okay book but no great lessons or anything of any real value. I wouldn't recommend it at all.,2.0,200896,NEG,0.002923984546214342,0.9786667823791504,0.018409211188554764,negative,NEG
A Lexicon Abridged from Liddell and Scott's Greek-English Lexicon,"['Henry George Liddell', 'Robert Scott']",['Foreign Language Study'],"This abridgement of the world's most authoritative dictionary of ancient Greek is intended chiefly for use in schools. To this end, some of the more specialized words relating to medicine and science have been excluded, whilst words from works of particular relevance to school usage have been retained, and the number of irregular verb tenses expanded.","The Big Liddell is a very valuable resource, as a number of other reviewers here have observed. It truly is the premier work of its kind. But it has a few drawbacks.1 - The sheer weight and bulk of this tome makes it a dedicated desk reference. In fact, you might consider building a special shelf or desk just to hold the book.2 - The offset printing flaws mentioned by other reviewers is a significant problem. Portions of some entries are not even legible.The Big Liddell is the kind of book that would be much more valuable in digital format than in print. There's been talk about an electronic version for some time, and it looks like we might finally get one soon ...",3.0,10493,NEU,0.3244430720806122,0.1307380497455597,0.5448188781738281,neutral,NEU
Garden's Corner: A Novel,['Douglas S. Reed'],['Fiction'],"Little Speedy Copeland leaves Brooklyn to search for, and make peace with, his best friend after Jamal unexpectedly leaves the city while Speedy is recovering from a violent episode which left the Generation X'er with only limited use of his legs. Speedy's extraordinary adventure leads him to Garden's Corner, South Carolina, as he tries to overcome both his physical paralysis and the paralysis of the human spirit as well.","Garden's Corner concerns the psychological and physical journey of Speedy Copeland to recover from a gun shot wound and recover the purpose of his life. The novel has much of what good novels are about: an archtypical journey of youth to manhood, interesting characters, a likeable hero, some passages that are very powerful. But Reed misses the target. Speedy's clmactic speech is banal, very typical. While many people may not rise to these kind of occasions in their lives, in a novel our hero must. Speedy needs to say something more than what can appear to be an adolescent whine.Reed diverges in his story with other stories, whose purpose is to relate to that part of the story. He begins one such by saying how Miss Pearl, Speedy's grandmother, told him a prayer that he found meaningful. For several pages Speedy recounts his journey into religion to demonstrate that he is not religious, but that this prayer was meaningful to him anyway. The reader starts feeling: get to the point, what is the prayer. It is one we all have heard before. Not that a young person person cannot find this significant he hears it for the first time, but the build-up is less than the punch.There is a powerful short story in the middle of the novel about two black boys playing a one-on-one for the pleasure of a white coach. The reader may suspect that Mr. Reed has written this before and has pasted in his story. But the presence of this episode is relevant, helping to fill out the character and setting us up for the journey.The reason I believe the novel is flawed is the divergences that take place that are not necessary. At some point in time while reading the story, the reader will discover the truth that is the ending before one gets there. That is not fatal. However, with that in mind, Speedy ought to have a speech or narrative that has some punch. That was a big disappointment.",3.0,3481,NEU,0.10423929989337921,0.06793466955423355,0.8278260231018066,neutral,NEU
The Story Of England,['Michael Wood'],['History'],"The village of Kibworth in Leicestershire lies at the very centre of England. It has a church, some pubs, the Grand Union Canal, a First World War Memorial - and many centuries of recorded history. In the thirteenth century the village was bought by William de Merton, who later founded Merton College, Oxford, with the result that documents covering 750 years of village history are lodged at the college. Building on this unique archive, and enlisting the help of the current inhabitants of Kibworth, with a village-wide archeological dig, with the first complete DNA profile of an English village and with use of local materials like family memorabilia, Michael Wood tells the extraordinary story of one English community over fifteen centuries, from the moment that the Roman Emperor Honorius sent his famous letter in 410 advising the English to look to their own defences to the village as it is today. The story of Kibworth is the story of England itself, a 'Who Do You Think You Are?' for the entire nation. It is the subject of a six-part BBC tv series to be shown in autumn 2010.","Just as William Shatner is attracted to writing in short sentences (where two words is the norm), Hibbert is extremely verbose, to put it kindly. Often his sentences are written in the passive voice and have five or more phrases and sentence fragments in them. It becomes extremely difficult to follow the narrative of the story. Some of his sentences are so long that they literally become paragraphs in and of themselves. It was frustrating to have to read a sentence three or four times before the meaning became clear. Half the time I felt like I wanted to go through the book with a red pen and edit the grammar. I think I would have run out of ink by page 74. Another dissapointing fact about this book is that it pays lipservice to some of the most important events in English history. Historic milestones, battles, and cultural references may be only mentioned in one phrase in passing, never to be seen again. Other significant events like the rise of the empire on which &quot;the sun never sets&quot; are glossed over. The book does include some extras, like maps of England and timelines, but even then, the maps were of little use. They simply tended to list pinpoint locations while the author would refer to provinces or areas of the country that were not marked on the map. If you are not familiar with British geography (and I imagine you wouldn't be if you are considering a book like this) then their value becomes wasted. All in all, this was an experience which I would not like to repeat again. For an example of a good history book, check out Willam Manchester's take on the American century,&quot;The Glory and the Dream.&quot;",2.0,45847,NEG,0.008382849395275116,0.7806055545806885,0.21101167798042297,negative,NEG
Democracy and Distrust: A Theory of Judicial Review (Harvard Paperbacks),['John Hart Ely'],['Law'],Ely criticizes the two prevailing legal approaches to the Constitution and sets forth a proposal for determining the role of the Supreme Court today based on the view that the Court should assure majority governance while protecting minority rights,"This is simply to say that if you are a student, and you are assigned this book, give yourself enough time to read it. It is thick, and Ely does things like stop in the middle of sentences and begin to talk to himself. It makes his idea difficult to follow. He also writes 6+ line sentences with no punctuation. It's not an impossible read, but it's not an overnight read either, FYI.",3.0,128911,NEG,0.013696163892745972,0.6427968144416809,0.3435070216655731,neutral,NEU
Cheaper By the Dozen,['Nat Reed'],['Education'],"In this State Standards-aligned Literature Kit™, we divide the novel by chapters or sections and feature reading comprehension and vocabulary questions. In every chapter, we include Before You Read and After You Read questions. The Before You Read activities prepare students for reading by setting a purpose for reading. They stimulate background knowledge and experience, and guide students to make connections between what they know and what they will learn. The After You Read activities check students' comprehension and extend their learning. Students are asked to give thoughtful consideration of the text through creative and evaluative short-answer questions and journal prompts. Also included are writing tasks, graphic organizers, comprehension quiz, test prep, word search, and crossword to further develop students' critical thinking and writing skills, and analysis of the text. About the Novel: A classic story of a family of twelve children and their adventures while growing up together. Frank and Lillian Gilbreth were renowned efficiency experts, who often practiced their many different theories and experiments on their large family. Written with wit and humor, the book documents a multitude of humorous and touching vignettes – some hilarious and others nostalgic and heart-warming. Family adventures include, the family car, a vintage Pierce-Arrow, which is used by the parents for Sunday drives and causes the children no end of embarrassment. As well as a trip out west to visit Mother’s straight-laced family. It is a story in which most families will readily identify, and keep the reader turning the pages to the very end. All of our content is aligned to your State Standards and are written to Bloom's Taxonomy.","I loved this movie as a child and thought my six year old and I would listen to the book on cassette. I was not prepared, nor did I remember, the use of language in the movie. The third time I heard the Lord's name taken in vain, I turned the cassette off. I am going to buy the book and read it to my son, skipping those parts. I guess when I watched the movie (many moons ago) that language was not allowed on television and therefore we were not subjected to it. I was very disappointed in the book on tape. The story is wonderful. The authors (two of the children) could have alluded to the language without repeating it. I rate it two stars because of this.",2.0,6825,POS,0.5637804865837097,0.11312385648488998,0.3230957090854645,negative,NEG
Open Range and Parking Lots: Southwest Photographs (University of Arizona Southwest Center series),"['Virgil Hancock', 'Gregory McNamee']",['Photography'],"The color photographs record decay and despair with beauty and elegance, accompanied by a text that plumbs the cultural backdrop of the contemporary American Southwest.","The Southwest US is clearly a great place to take photos, dramatic open spaces and weather plus all those wonderful examples of the hand of man in the environment, mostly for negative reasons it must be said. It is a pity though that Virgil Hancock just doesn't manage to do the area justice. Of the fifty-two photos in the book so many of them seem to lack a focal point (or maybe they are just poorly cropped?) so that the book, I feel, is no more than a collection of ordinary photos.As the area is so kind to photographers there are some images here that are just super with good compositions, cropping and color, for example, two store fronts in Las Vegas, NM (plate four) a chained tree stump on a trailer (plate thirty-five) or the Jungle bar in Phoenix, AZ (plate forty-one) there are at least another five or so but I feel they were let down by their cropping.I can recommend these three photo books of the Southwest, Wim Wenders 'Written in the West' (ISBN 3823854690) Troy Paiva's 'Lost America' (ISBN 076031490X) with plenty of stunning night-time photos, presented unfortunately in a rather mediocre designed book and Gerd Kittel's 'Southwest USA' (ISBN 0500541213) eighty beautiful photos shown in a lovely classic photo-book format.One final point about 'Open Range and Parking Lots' concerns the production, none of the photos have their captions with the image, you have to constantly turn to the back caption page to read them and the page numbering is just plain silly. The first printed number that appears is four, sixteen pages from the start of the book, the five photos that are on these pages are referred on the back caption page as 'N.b. Plates 1-5 appear on pages iii-xvi', predictably there are no Roman numerals on any of these sixteen pages. As I said the numbering is just plain silly!",3.0,49182,NEU,0.3827543556690216,0.14950811862945557,0.4677375257015228,neutral,NEG
Beginner's Yoruba (Hippocrene Beginner's Series),['Kayode J. Fakinlede'],['Foreign Language Study'],"""Beginner's Yoruba"" is now available with two accompanying audio CDs. It provides an introduction to the Yoruba language, which is spoken by over 30 million people in south-western Nigeria, parts of the Benin Republic, and Togo, as well as in the diaspora populations of Brazil, Cuba, and Haiti. The 15 lessons are designed for both classroom use and self-study. Practice dialogues, combined with grammatical explanations, aid the student in understanding the basics of the language. Each lesson also contains a vocabulary section that highlights the important aspects of its featured topic. The audio CDs, which complement the lessons, help the student easily master the language's unique tones and vowel sounds, often considered the most difficult aspect of the language to learn. Quizzes and practice exercises are integrated into the lessons to help reinforce the material. The book also includes information on various aspects of Yoruba culture, including religion, songs, and folklore.","I agree, the CDs are a much needed help, since it would be impossible to pronnounce the Yoruba tones without the help of a native speaker. However, the design of the book is really poor and confusing. I have found several spealling mistakes in English and Yoruba. And the grammar explanations are very hard to understand.Unfortunately there are not many Teach Yourself Yoruba books that are worth it. This one at least provides basic vocabulary and pronounciation skills.",2.0,43,NEG,0.007285112049430609,0.9258558750152588,0.06685899198055267,negative,NEU
Sea-Doo Water Vehicles Shop Manual: 1997-2001 (Clymer Personal Watercraft),['Penton Staff'],['Sports & Recreation'],Sea-Doo Water Vehicles 1997-20,"I ordered a manual on 8-28,rec'd email same day that it had been shipped,was given a tracking # from usps.was told delivery date would be between 9-2 and 9-22. Kept checking tracking #,never was updated. On 9-22 sent an email to Short's requesting status,no response,sent another one on 9-28,no response. Finally filed claim with Amazon and they refunded my $. I would never buy anything from this company,they took my money out of account the day I ordered the manual,then did nothing! Very upset,needed the manual,now have to find somewhere else to buy it. I'm happy Amazon.com refunded my money,I hope they get rid of Shorts as one of their sellers!!",1.0,125693,NEG,0.0028934041038155556,0.9640534520149231,0.03305314853787422,negative,NEG
